contract_id|title|text|clean_text
2016_082054|Application of Agreement|"- LIMITES DE APLICAÇÃO DESTA CONVENÇÃO  Contando a empresa, em 31.08.15, com até 15 (quinze) empregados, além das cláusulas já especificadas, não estará obrigada ao cumprimento das cláusulas deste Acordo, adiante relacionadas: Salário Substituição - Transporte e Alimentação - Mão de Obra Temporária - Medidas de Proteção (letras ""B"", ""C"" e ""D"") - CIPAs (até 20 empregados) - Aprendizes do SENAI - Garantias Sindicais - Promoções - Ausência Justificada (letra “C”) - Garantia ao Empregado Estudante - Comunicação de Acidente do Trabalho - Pagamento de Salários (letra ""C"") - Compensação de Horas - Teste Admissional - Diárias - Preenchimento de Formulários para a Previdência Social - Salário Admissão – Exame preventivo do Câncer. "|limit aplic dest convençã cont empres quinz empreg além cláusul especific estar obrig cumpriment cláusul dest acord adiant relacion salári substituiçã transport aliment mã obra temporár med proteçã letr b c d cip empreg aprendiz sena garant sindic promoçõ ausênc justific letr c garant empreg estud comunic acident trabalh pagament salári letr c compens hor test admissional diár preenchiment formulári prevident social salári admissã exam prevent cânc
2016_082054|Non-compliance with Agreement|MULTA  Fica acordada, pelas partes, multa equivalente a 1% (um por cento) do menor Salário Normativo da categoria, vigente na época do evento, por infração e por empregado envolvido, em caso de descumprimento de quaisquer das cláusulas contidas neste Acordo Coletivo de Trabalho, revertendo o benefício em favor da parte prejudicada.  Ficam excluídas desta penalidade as cláusulas que já possuam cominações específicas.   |mult fic acord part mult equivalent cent menor salári normat categor vigent époc event infraçã empreg envolv cas descumpr quaisqu cláusul cont nest acord colet trabalh revert benefíci favor part prejudic fic excluíd dest penal cláusul possu comin específ
2016_082054|Renewal / Termination of the Agreement|PRORROGAÇÃO,  REVISÃO,  DENUNCIA OU REVOGAÇÃO  O processo de prorrogação, revisão, denúncia ou revogação total ou parcial, da presente Convenção, ficará subordinado às normas estabelecidas pelo artigo 615 da Consolidação das Leis do Trabalho (CLT).  |prorrog revisã denunc revog process prorrog revisã denúnc revog total parcial present convençã fic subordin norm estabelec artig consolid leis trabalh clt
2016_082054|Renewal / Termination of the Agreement|CLÁUSULA COMPROMISSÓRIA  As partes signatárias deste Acordo Coletivo de Trabalho ajustam que durante a sua vigência, e já a partir de janeiro de 2017, será estabelecido um Calendário de Reuniões, com o objetivo único de rever as Cláusulas Sociais ora pactuadas e também as reivindicadas pelo Profissional e pelo Patronal, visando modificações, exclusões ou inclusões de novos itens, desde que ajustados de comum acordo. |cláusul compromissór part signatár dest acord colet trabalh ajust durant vigênc part janeir estabelec calendári reuniõ objet únic rev cláusul soc ora pactu reivindic profissional patronal vis modific exclusõ inclusõ nov itens desd ajust comum acord
2014_081501|Non-compliance with Agreement|Em caso de descumprimento do presente acordo, a empresa pagará multa de um piso da categoria, que será revertido em favor do empregado prejudicado. |cas descumpr present acord empres pag mult pis categor revert favor empreg prejudic
2014_081501|Renewal / Termination of the Agreement|O presente acordo deverá ter uma via depositada no órgão regional do  Ministério do Trabalho, tendo validade pelo prazo de dois anos, a contar de 01/01/2014, podendo ser revogado ou prorrogado por outro acordo, conforme a conveniência das partes acordantes. E por estarem justas e acordadas as partes  firmam o presente acordo em 03 (três) vias de igual forma e teor para que produza os efeitos legais. |present acord dev ter via deposit órgã regional ministéri trabalh tend validad praz dois anos cont pod revog prorrog outr acord conform convenient part acord estar just acord part firm present acord três vias igual form teor produz efeit leg
2016_082084|Non-compliance with Agreement| 1. A inobservância às obrigações de fazer estipuladas no presente acordo coletivo acarretará uma multa no valor correspondente a 10% (dez por cento) do piso da categoria para o empregador ou para o Sindicato Convenente. |inobserv obrig faz estipul present acord colet acarret mult valor correspondent dez cent pis categor empreg sindicat convenent
2014_009174|Application of Agreement|Fica estipulada a multa no valor igual àquela constante na Convenção Coletiva  a ser paga pela empresa se houver descumprimento de obrigações prevista nesse Acordo, revertendo em favor do empregado prejudicado.|fic estipul mult valor igual àquel constant convençã colet pag empres descumpr obrig previst ness acord revert favor empreg prejudic
2015_043073|Non-compliance with Agreement|Fica estabelecida a multa de 5% (cinco por cento) do salário-base do empregado, em caso de infração a qualquer das cláusulas da presente Convenção, a ser aplicada à parte infratora e a reverter em favor da parte prejudicada, seja a entidade sindical respectiva, o empregado ou a empresa, respeitado o limite, previsto no art. 622, parágrafo único, da CLT. |fic estabelec mult cinc cent saláriobas empreg cas infraçã qualqu cláusul present convençã aplic part infrator revert favor part prejudic entidad sindical respect empreg empres respeit limit previst art parágraf únic clt
2015_043073|Non-compliance with Agreement|Os sindicatos convenentes declaram, que na  negociação coletiva ora formalizada, houveram concessões mútuas, razão pela qual os direitos e deveres, benefícios e restrições expressões nas diversas cláusulas, não devem ser vistos isoladamente, e sim como insertos na integralidade do pactuado, que decorreu do objetivo de manutenção e ampliação de vantagens aos empregados e, principalmente, da busca da possibilidade de manutenção e geração de empregos, bem como de se viabilizar a atividade econômica (artigo 7º, inciso XXVI, da Constituição Federal).|sindicat convenent decl negoc colet ora formaliz concessõ mútu razã direit dev benefíci restriçõ expressõ divers cláusul dev vist isol sim insert integral pactu decorr objet manutençã ampliaçã vantagens empreg principal busc possibil manutençã geraçã empreg bem viabiliz ativ econôm artig incis xxvi constituiçã federal
2017_039341|Non-compliance with Agreement|Se violada qualquer cláusula desta CONVENÇÃO, no que se refere às obrigações de fazer, ficará a empresa obrigada ao pagamento de multa equivalente a R$ 35,63 (trinta e cinco reais e sessenta e três centavos) por infração, revertendo o valor em favor do empregado prejudicado. Parágrafo Único: A multa será devida quando da execução de decisão judicial que tenha reconhecido a infração. |viol qualqu cláusul dest convençã refer obrig faz fic empres obrig pagament mult equivalent r trint cinc rea sessent três centav infraçã revert valor favor empreg prejudic parágraf únic mult dev execu decisã judicial reconhec infraçã
2013_069396|Application of Agreement|COMPROVAÇÃO DO DOCUMENTO: O Cumprimento das condições constantes no presente instrumento deverá ser feito de forma que possa ser comprovada perante a fiscalização do Ministério do Trabalho e do Sindicato Laboral. |comprov document cumpriment condiçõ constant present instrument dev feit form poss comprov perant fiscaliz ministéri trabalh sindicat laboral
2013_069396|Non-compliance with Agreement|PENALIDADE DO DESCUMPRIMENTO: Pôr infração a qualquer cláusula deste acordo coletivo ficará a Empresa sujeita a multa equivalente a 5 (cinco) SALARIOS MINIMOS, pelo descumprimento desse acordo em favor do Sindicato dos Empregados no Comercio de Sobral, que será revestido aos EMPREGADOS, em forma de benefícios.  PARÁGRAFO PRIMEIRO: A empresa concedera aos diretores do Sindicato acima citado 15min. (quinze minutos) de reunião com seus funcionários para esclarecimentos do acordo.  PARAGRAFO SEGUNDO: Cada empresa pagara ao Sindicato Laboral uma taxa de R$ 12,00(doze reais) por acordo.  |penal descumpr pôr infraçã qualqu cláusul dest acord colet fic empres sujeit mult equivalent cinc salari min descumpr dess acord favor sindicat empreg comerci sobral revest empreg form benefíci parágraf primeir empres conced diretor sindicat acim cit quinz minut reuniã funcionári esclarec acord paragraf segund cad empres pag sindicat laboral tax r doz rea acord
2014_038109|Application of Agreement|As partes reconhecem que no que diz respeito às comissões e diárias para viagens, o presente acordo coletivo é mais benéfico que os termos firmados na CCT e o mesmo é firmado em obediência à Cláusula Nona da CCT do SINDMAT - Sindicato das Empresas de Transporte de Cargas do Estado de Mato Grosso e tem eficácia legal com base nas disposições contidas no Inciso XVI da CF. |part reconhec diz respeit comissõ diár viagens present acord colet benéf term firm cct firm obedient cláusul non cct sindmat sindicat empres transport carg estad mat gross eficác legal bas disposiçõ cont incis xvi cf
2014_038109|Renewal / Termination of the Agreement|O presente acordo coletivo de trabalho poderá ser revisto, a pedido das partes, no caso de surgimento de legislação nova que implique nas suas condições.|present acord colet trabalh pod revist ped part cas surgiment legisl nov impliqu condiçõ
2010_074416|Application of Agreement|Aos operadores de transmissor, empregados da TELEVISAO SOCIEDADE - TV RECORD - MINAS, representados pelo SINTERT-MG poderá se aplicar no que se refere a jornada de trabalho as normas do presente acordo coletivo. |oper transmissor empreg televisa sociedad tv record min represent sintertmg pod aplic refer jorn trabalh norm present acord colet
2010_074416|Renewal / Termination of the Agreement|O presente acordo vigorará por 12 meses, iniciando-se a partir da data da assinatura desse acordo, com renovação automática a menos que haja manifestação em contrário, por uma das partes, por escrito e com 30 (trinta) dias de antecedência.|present acord vigor mes iniciandos part dat assinatur dess acord renov automát men manifest contrári part escrit trint dias antecedent
2015_065035|Renewal / Termination of the Agreement|Estipulam as partes o Foro Trabalhista de Salto/SP., para dirimir quaisquer dúvidas acerca do presente Acordo Coletivo de Trabalho, renunciando a qualquer outro, por mais privilegiado que seja. |estipul part for trabalh saltosp dirim quaisqu dúv acerc present acord colet trabalh renunc qualqu outr privilegi
2017_039364|Application of Agreement|As diferenças salariais não pagas em relação a data base, relativas aos meses de Março, Abril, Maio e Junho serão pagas respectivamente nos meses de Julho, Agosto, Setembro e Outubro dso ano de 2017. |diferenc salari pag relaçã dat bas relat mes marc abril mai junh pag respect mes julh agost setembr outubr dso ano
2017_039364|Non-compliance with Agreement|Multa de 10% (dez por cento) do salário normativo, por empregado, em caso de descumprimento de qualquer cláusula contida na norma coletiva, revertendo o seu benefício em favor da parte prejudicada.|mult dez cent salári normat empreg cas descumpr qualqu cláusul cont norm colet revert benefíci favor part prejudic
2012_032527|Non-compliance with Agreement|Pelo descumprimento de qualquer das cláusulas constantes do presente instrumento, fica estabelecida uma multa equivalente a 5% (cinco por cento) do menor salário pago no CRMV-SC em favor da parte prejudicada, por cláusula e por empregado.|descumpr qualqu cláusul constant present instrument fic estabelec mult equivalent cinc cent menor salári pag crmvsc favor part prejudic cláusul empreg
2013_068336|Application of Agreement|COMPROVAÇÃO DO DOCUMENTO: O Cumprimento das condições constantes no presente instrumento deverá ser feito de forma que possa ser comprovada perante a fiscalização do Ministério do Trabalho e do Sindicato Laboral.  |comprov document cumpriment condiçõ constant present instrument dev feit form poss comprov perant fiscaliz ministéri trabalh sindicat laboral
2013_068336|Non-compliance with Agreement|PENALIDADE DO DESCUMPRIMENTO: Pôr infração a qualquer cláusula deste acordo coletivo ficará a Empresa sujeita a multa equivalente a 5 (cinco) SALARIOS MINIMOS, pelo descumprimento deste acordo em favor do Sindicato dos Empregados no Comercio de Sobral,que será revestido aos EMPREGADOS, em forma de benefícios.  PARÁGRAFO PRIMEIRO: A empresa concedera aos diretores do Sindicato acima citado 15 min. (quinze minutos) de reunião com seus funcionários para esclarecimentos do acordo.  PARAGRAFO SEGUNDO: Cada empresa pagara ao Sindicato Laboral uma taxa de R$ 12,00(Doze reais) por acordo. |penal descumpr pôr infraçã qualqu cláusul dest acord colet fic empres sujeit mult equivalent cinc salari min descumpr dest acord favor sindicat empreg comerci sobral revest empreg form benefíci parágraf primeir empres conced diretor sindicat acim cit min quinz minut reuniã funcionári esclarec acord paragraf segund cad empres pag sindicat laboral tax r doz rea acord
2013_073410|Application of Agreement|As condições mais favoráveis estabelecidas em acordo coletivo legal e formalmente em ordem, prevalecerão com relação as normas vigentes neste Acordo Coletivo de Trabalho. |condiçõ favor estabelec acord colet legal formal ordem prevalec relaçã norm vigent nest acord colet trabalh
2013_073410|Application of Agreement|Os empregados ou sua Entidade representativa poderão intentar ação de cumprimento na forma e para fins especificados no Artigo 872, Parágrafo Único, da Consolidação das Leis de Trabalho. |empreg entidad represent pod intent açã cumpriment form fins especific artig parágraf únic consolid leis trabalh
2013_073410|Application of Agreement|As partes comprometem-se a cumprir os dispositivos ora pactuados, em todos os seus termos e condições, durante prazo de vigência respectivo. |part comprometems cumpr disposit ora pactu tod term condiçõ durant praz vigênc respect
2013_073410|Application of Agreement|O processo de prorrogação, revisão, denuncia ou revogação total ou parcial, deste Acordo findará subordinado às normas estabelecidas pelo Artigo 615 da Consolidação das Leis de Trabalho. |process prorrog revisã denunc revog total parcial dest acord find subordin norm estabelec artig consolid leis trabalh
2013_073410|Application of Agreement|Será competente a Justiça de Trabalho para dirimir quaisquer divergências surgidas na aplicação deste acordo.|competent justic trabalh dirim quaisqu divergent surg aplic dest acord
