contract_id|title|text|clean_text
2016_082054|Senior Workforce|- INDENIZAÇÃO AO EMPREGADO DEMITIDO COM 45 ANOS DE IDADE OU MAIS  Os empregados com 45 (quarenta e cinco) anos de idade ou mais, quando forem demitidos sem justa causa receberão uma indenização correspondente a 20 (vinte) dias de salário, acrescido de 1 (um) dia de salário por ano ou fração superior a 6 meses a partir de 45 anos de idade.  Parágrafo Único: Esta cláusula não se aplica aos empregados admitidos a partir de 01.11.98.   |indeniz empreg demit anos idad empreg quarent cinc anos idad demit just caus receb indeniz correspondent vint dias salári acresc dia salári ano fraçã superior mes part anos idad parágraf únic cláusul aplic empreg admit part
2016_082054|Retirement Assurances|- GARANTIA AO EMPREGADO EM VIAS DE APOSENTADORIA  A) Aos empregados que comprovadamente estiverem a um máximo de 14 (catorze) meses da aquisição do direito à aposentadoria em seus prazos mínimos, e que contem com um mínimo de 5 (cinco) anos de trabalho na mesma empresa, fica assegurado o emprego ou salário durante o período que faltar para aposentarem-se;  B) Aos empregados que comprovadamente estiverem a um máximo de 20 (vinte) meses da aquisição do direito a aposentadoria em seus prazos mínimos, e que contem com mais de 10 (dez) anos de trabalho na mesma empresa, ficará assegurado o emprego ou salário, durante o período que faltar para aposentarem-se;  C) Caso o empregado dependa de documentação para comprovação do tempo de serviço, terá 40 (quarenta) dias de prazo a partir da notificação de dispensa, no caso de aposentadoria simples e de 60 (sessenta) dias no caso de aposentadoria especial;  D) O contrato de trabalho destes empregados somente poderá ser rescindido por mútuo acordo entre o empregado e a empresa ou por pedido de demissão, ambos com assistência do sindicato signatário. |garant empreg vias aposentador empreg comprov máxim catorz mes aquisiçã direit aposentador praz mín cont mínim cinc anos trabalh mesm empres fic assegur empreg salári durant períod falt aposentarems b empreg comprov máxim vint mes aquisiçã direit aposentador praz mín cont dez anos trabalh mesm empres fic assegur empreg salári durant períod falt aposentarems c cas empreg depend document comprov temp servic quarent dias praz part notific dispens cas aposentador simpl sessent dias cas aposentador especial d contrat trabalh dest empreg soment pod rescind mútu acord empreg empres ped demissã ambos assistent sindicat signatári
2012_002993|Retirement Assurances|Fica assegurado aos empregados em geral, sejam homens ou mulheres, em vias de aposentadoria nos prazos mínimos legais, de conformidade com o previsto nos termos do art.188 do Decreto nº. 3.048/99 garantia de emprego, como segue:      TEMPO DE TRABALHO NA MESMA EMPRESA  ESTABILIDADE   20 ANOS OU MAIS  02 ANOS   10 ANOS OU MAIS  01 ANO   05 ANOS OU MAIS  06 MESES   § 1º.: Para concessão das garantias acima, o empregado deverá apresentar comprovante fornecido pelo INSS, nos termos do art.130 do Decreto 3.048/99, que ateste, respectivamente, os períodos de 2 anos, 1 ano ou 6 meses restantes para a implementação do beneficio. A contagem da estabilidade inicia-se a partir da apresentação dos comprovantes pelo empregado, limitada ao tempo que faltar para aposentar-se.   § 2º.: A concessão prevista nesta cláusula, ocorrerá uma única vez, podendo a obrigação ser substituída por uma indenização correspondente aos salários do período não cumprido ou não implementado da garantia, não se aplicando nas hipóteses de encerramento das atividades da empresa e dispensa por justa causa ou pedido de demissão. |fic assegur empreg geral homens mulh vias aposentador praz mín leg conform previst term decret nº garant empreg seg temp trabalh mesm empres estabil anos anos anos ano anos mes concessã garant acim empreg dev apresent comprov fornec inss term decret atest respect períod anos ano mes restant implement benefici contag estabil inicias part apresent comprov empreg limit temp falt aposentars concessã previst nest cláusul ocorr únic vez pod obrig substituíd indeniz correspondent salári períod cumpr implement garant aplic hipótes encerr ativ empres dispens just caus ped demissã
2012_002943|Retirement Assurances|O trabalhador que estiver completando o período para se aposentar deverá comunicar a empresa por escrito com antecedência mínima de 12(Doze) meses para que possa ser feita análise da situação do trabalhador pela empresa. |trabalh complet períod aposent dev comunic empres escrit antecedent mínim doz mes poss feit anális situaçã trabalh empres
2016_082084|Retirement Assurances|1. Aos empregados que, contando com mais de 6 (seis) anos de serviços na empresa, estejam a 22 (vinte e dois) meses ou menos para o implemento da aposentadoria, por velhice, tempo de contribuição ou especial, ser-lhes-á garantido o emprego durante o aludido período, salvo cometimento de justa causa devidamente comprovada, ou acordo homologado.  2. Os empregados que, nas condições acima mencionadas, tiverem seus contratos rescindidos sem justa causa, deverão apresentar ao empregador a comprovação documental das condições para aposentadoria por tempo de serviço no prazo de 30 (trinta) dias e para aposentadoria especial no prazo de 60 (sessenta) dias, contados da rescisão do contrato de trabalho, sob pena de não mais poder postular quanto à permanência no emprego e/ou salários do período de garantia, entendendo-se esta como inexistente em decorrência da renúncia tácita configurada. |empreg cont seis anos servic empres vint dois mes men implement aposentador velhic temp contribuiçã especial serlhes garant empreg durant alud períod salv comet just caus devid comprov acord homolog empreg condiçõ acim mencion contrat rescind just caus dev apresent empreg comprov documental condiçõ aposentador temp servic praz trint dias aposentador especial praz sessent dias cont rescisã contrat trabalh sob pen pod postul quant permanent empreg eou salári períod garant entendendos inexistent decorrent renúnc tácit configur
2012_003082|Retirement Assurances|O trabalhador que estiver completando o período para se aposentar deverá comunicar a  empresa por escrito com antecedência mínima de 12(Doze) meses para que possa ser feita análise da situação do trabalhador pela empresa. |trabalh complet períod aposent dev comunic empres escrit antecedent mínim doz mes poss feit anális situaçã trabalh empres
2017_039341|Retirement Assurances|"a)       por 12 (doze) meses imediatamente anteriores à complementação de tempo mínimo para aposentadoria pela Previdência Social, os que tiveram o mínimo de 5 (cinco) anos de vinculação empregatícia com a Empresa. b)       por 18 (dezoito) meses imediatamente anteriores à complementação do tempo para aposentadoria pela Previdência Social, os que tiverem o mínimo de 20 (vinte) anos de vínculo ininterrupto com o mesmo empregador. Parágrafo Único: Quanto aos empregados na proximidade de aposentadoria, de que trata esta cláusula, deve-se observar que: I.            os compreendidos nas alíneas ""a"" e ""b"", a estabilidade provisória será adquirida a partir do recebimento, pela Empresa, de comunicação do empregado, por escrito, devidamente protocolada, sem efeito retroativo, de reunir ele as condições previstas. II.            aos abrangidos pelas alíneas ""a"" e ""b"", a estabilidade não se aplica aos casos de demissão por força maior comprovada, dispensa por justa causa ou pedido de demissão, e se extinguirá se não for requerida a aposentadoria imediatamente após completado o tempo mínimo necessário à aquisição do direito a ela. Entende-se por complemento de tempo mínimo para aposentadoria o preenchimento das condições mínimas exigidas pela Previdência Social. "|doz mes imediat anterior complement temp mínim aposentador prevident social mínim cinc anos vincul empregatíc empres b dezoit mes imediat anterior complement temp aposentador prevident social mínim vint anos víncul ininterrupt empreg parágraf únic quant empreg proxim aposentador trat cláusul deves observ i compreend alín b estabil provisór adquir part receb empres comunic empreg escrit devid protocol efeit retroat reun condiçõ previst ii abrang alín b estabil aplic cas demissã forc maior comprov dispens just caus ped demissã extingu requer aposentador imediat após complet temp mínim necessári aquisiçã direit entendes complement temp mínim aposentador preenchiment condiçõ mínim exig prevident social
2013_073410|Retirement|Ressalvadas as situações mais favoráveis já existentes, ao empregado com 4 (quatro) anos ou mais de serviços contínuos dedicados à mesma empresa, quando dela vier a desligar-se definitivamente por motivo de aposentadoria, será pago um abono a título de indenização, equivalente ao seu ultimo salário nominal, percebido na empresa. |ressalv situaçõ favor existent empreg quatr anos servic contínu dedic mesm empres vier desligars definit motiv aposentador pag abon títul indeniz equivalent ultim salári nominal perceb empres
2013_073410|Retirement Assurances|Aos empregados que comprovadamente estiverem a um máximo de 12(doze) meses da aquisição do direito à aposentadoria em seus prazos mínimos, e contém com o mínimo de 04 (quatro) anos de serviço contínuo na empresa, fica assegurado o emprego ou salário durante o período que faltar para aposentar-se, ficando excluídas desta garantia de rescisões por justa causa, rescisões por acordo entre as partes e pedidos de demissão. |empreg comprov máxim doz mes aquisiçã direit aposentador praz mín contém mínim quatr anos servic contínu empres fic assegur empreg salári durant períod falt aposentars fic excluíd dest garant rescisõ just caus rescisõ acord part ped demissã
2010_074884|Retirement|Aos empregados que comprovarem estar a um máximo de 24(vinte e quatro) meses da aquisição do direito à aposentadoria, seja ela por idade, a especial e ainda, a por tempo de serviço na empresa, nos seus prazos mínimos, ficará assegurado emprego ou indenização por aposentadoria, correspondente ao período que faltar para a aposentadoria, sem prejuízo de outros eventuais direitos porventura existentes.  Referida verba não terá cunho salarial, não integrando a remuneração para nenhum fim ou efeito. PARÁGRAFO PRIMEIRO - Caso o empregado dependa de documentação hábil para comprovação de tempo de serviço, terá 90(noventa) dias de prazo, a partir do término do aviso prévio legal, em qualquer modalidade da aposentadoria, para apresentá-lo à empresa. Este prazo poderá ser prorrogado mediante requerimento do empregado, justificando a dificuldade de obtenção dos documentos comprobatórios junto ao INSS, por sucessivos períodos de 90 dias, até o limite máximo de 360 dias; PARÁGRAFO SEGUNDO - O prazo aqui definido será solicitado por escrito pelo empregado, no prazo de 15 dias, após o recebimento da notificação de dispensa, não sendo devido o pagamento dos dias excedentes ao prazo do aviso prévio legal e acordado; PARÁGRAFO TERCEIRO - Entende-se como documento hábil para aprovação do tempo de serviço o documento fornecido pela previdência social que defere a contagem de tempo de serviço, anteriormente solicitada, pelo empregado. Não será aceito pela empresa em hipótese alguma o simples protocolo de requerimento da contagem de tempo de serviço; PARAGRAFO QUARTO - Caso o empregado deixe de exercer o direito a aposentadoria, de que trata essa cláusula, no momento de seu surgimento, não ocorrerá para ele nova garantia de emprego.|empreg comprov máxim vint quatr mes aquisiçã direit aposentador idad especial aind temp servic empres praz mín fic assegur empreg indeniz aposentador correspondent períod falt aposentador prejuíz outr eventu direit porventur existent refer verb cunh salarial integr remuner nenhum fim efeit parágraf primeir cas empreg depend document hábil comprov temp servic novent dias praz part términ avis prévi legal qualqu modal aposentador apresentál empres praz pod prorrog mediant requer empreg justific dificuldad obtençã document comprobatóri junt inss sucess períod dias limit máxim dias parágraf segund praz aqu defin solicit escrit empreg praz dias após receb notific dispens send dev pagament dias excedent praz avis prévi legal acord parágraf terceir entendes document hábil aprov temp servic document fornec prevident social defer contag temp servic anterior solicit empreg aceit empres hipótes algum simpl protocol requer contag temp servic paragraf quart cas empreg deix exerc direit aposentador trat cláusul moment surgiment ocorr nov garant empreg
