contract_id|title|text|clean_text
2016_082054|People with Special Needs|ADMISSÃO DE DEFICIENTES FÍSICOS  A empresa, na medida de suas possibilidades, promoverá a admissão de cientes físicos em funções compatíveis.  Tendo em vista as necessidades especificas para acessibilidade de pessoas com deficiência ou com mobilidade reduzida, a empresa compromete-se em considerar este fator quando da concepção e implantação de projetos para construção, ampliação ou reforma de suas edificações, de maneira que neste tema seja observada a legislação pertinente em todos os seus aspectos.   |admissã deficient físic empres med possibil promov admissã cient físic funçõ compatív tend vist necess especif acessibil pesso deficient mobil reduz empres comprometes consider fator concepçã implant projet construçã ampliaçã reform edific maneir nest tem observ legisl pertinent tod aspect
2016_082054|Accidental or Occupational Injury Assurances|- GARANTIA DE EMPREGO AO EMPREGADO PORTADOR DE DOENÇA PROFISSIONAL OU OCUPACIONAL  Esta cláusula está sendo concebida nas condições abaixo:  A) Na vigência deste ACORDO COLETIVO DE TRABALHO, o empregado que comprovadamente se tornar ou for portador de doença profissional ou ocupacional, atestada e declarada por laudo pericial do INSS, e que a mesma tenha sido adquirida na atual empresa, e que tenha sofrido redução parcial de sua capacidade laboral, terá garantido emprego ou salário, desde que atendidas as seguintes condições, cumulativamente:  a1) que apresente redução da capacidade laboral;  a2) que tenha se tornado incapaz de exercer a função que vinha exercendo ou equivalente;  a3) que apresente condições de exercer qualquer outra função compatível com sua capacidade laboral após o advento da doença.  B) As condições supra da doença profissional ou ocupacional, garantidoras do benefício, deverão ser atestadas e declaradas pelo INSS. Divergindo qualquer das partes quanto ao resultado do laudo, é facultado buscar a prestação jurisdicional, na Justiça do Trabalho;  C) Está abrangido pela garantia desta cláusula, o já portador de doença profissional ou ocupacional, adquirida na atual empresa, que atenda as condições acima, com contrato em vigor na data de vigência deste Acordo Coletivo de Trabalho;  D) O empregado contemplado com a garantia prevista nesta cláusula, não poderá servir de paradigma para reivindicações salariais, nem ter seu contrato de trabalho rescindindo pelo empregador, a não ser em razão de prática de falta grave, mútuo acordo entre as partes, com assistência do sindicato, ou quando tiver deferido o benefício da aposentadoria;  E) O empregado contemplado com as garantias previstas nesta cláusula, se obriga a participar de processo de readaptação e requalificação para nova função existente na empresa. Tal processo quando necessário, será preferencialmente aquele orientado pelo Centro de Reabilitação Profissional do INSS ou instituição credenciada por aquele instituto;  F) Se a empresa oferecer oportunidade, condições e/ou recursos para a readaptação ou requalificação profissional do portador de doença profissional ou ocupacional, o empregado que, comprovadamente, não colaborar no processo de readaptação ou requalificação profissional, está excluído da garantia desta cláusula;  G) A garantia desta cláusula se aplica ao portador de doença profissional ou ocupacional cuja ocorrência coincidir com a vigência do contrato de trabalho, além das condições previstas na letra “a” acima.  Parágrafo único: Ao empregado vitima de acidente no trabalho aplica-se a cláusula 40. |garant empreg empreg portador doenc profissional ocupacional cláusul send conceb condiçõ abaix vigênc dest acord colet trabalh empreg comprov torn portador doenc profissional ocupacional atest declar laud pericial inss mesm sid adquir atual empres sofr reduçã parcial capac laboral garant empreg salári desd atend seguint condiçõ cumul apresent reduçã capac laboral torn incapaz exerc funçã vinh exerc equivalent apresent condiçõ exerc qualqu outr funçã compat capac laboral após advent doenc b condiçõ supr doenc profissional ocupacional garantidor benefíci dev atest declar inss diverg qualqu part quant result laud facult busc prestaçã jurisdicional justic trabalh c abrang garant dest cláusul portador doenc profissional ocupacional adquir atual empres atend condiçõ acim contrat vigor dat vigênc dest acord colet trabalh d empreg contempl garant previst nest cláusul pod serv paradigm reivindic salari ter contrat trabalh rescind empreg razã prátic falt grav mútu acord part assistent sindicat defer benefíci aposentador empreg contempl garant previst nest cláusul obrig particip process readapt requalific nov funçã existent empres tal process necessári preferencial orient centr reabilit profissional inss instituiçã credenc institut f empres oferec oportun condiçõ eou recurs readapt requalific profissional portador doenc profissional ocupacional empreg comprov colabor process readapt requalific profissional excluíd garant dest cláusul g garant dest cláusul aplic portador doenc profissional ocupacional cuj ocorrent coincid vigênc contrat trabalh além condiçõ previst letr acim parágraf únic empreg vitim acident trabalh aplicas cláusul
2016_082054|Accidental or Occupational Injury Assurances|GARANTIA DE EMPREGO AO EMPREGADO VÍTIMA DE ACIDENTE NO TRABALHO  A) Na vigência deste ACORDO COLETIVO DE TRABALHO, o empregado vitima de acidente no trabalho, e que em razão do acidente tenha sofrido redução parcial de sua capacidade laboral, terá garantido emprego ou salário desde que atendidas as seguintes condições, cumulativamente:  a1) que apresente redução da capacidade laboral;   a2) que tenha se tornado incapaz de exercer a função que vinha exercendo ou equivalente;  a3) que apresente condições de exercer qualquer outra função compatível com sua capacidade laboral após o acidente.  B) As condições supra do acidente de trabalho garantidoras do benefício, deverão ser atestadas e declaradas pelo INSS. Divergindo qualquer das partes quanto ao resultado do laudo, é facultado às partes buscar a prestação jurisdicional, na Justiça do Trabalho;  C) Está abrangido pela garantia desta cláusula, o já acidentado no trabalho que atenda as condições acima, com contrato em vigor na data de vigência deste ACORDO COLETIVO DE TRABALHO;  D) O empregado contemplado com a garantia prevista nesta cláusula, não poderá servir de paradigma para reivindicações salariais, nem ter seu contrato de trabalho rescindindo pelo empregador, a não ser em razão de prática de falta grave, mútuo acordo entre as partes, neste caso com a assistência do sindicato ou quando tiver deferido o benefício da aposentadoria;  Está excluído da garantia supra o empregado vitimado em acidente de trajeto a que der causa. Excepciona-se desta hipótese, o acidente de trajeto ocorrido com transporte fornecido pela empresa;  E) O empregado contemplado com as garantias previstas nesta cláusula, se obriga a participar de processo de readaptação e requalificação para nova função existente na empresa. Tal processo quando necessário, será preferencialmente aquele orientado pelo centro de reabilitação Profissional do INSS ou instituição credenciada por aquele instituto;  F) Quando a empresa oferecer oportunidade, condições e/ou recursos para a readaptação ou requalificação profissional do acidentado do trabalho, o empregado que, comprovadamente, não colaborar no processo de readaptação ou requalificação profissional, está excluído da garantia desta cláusula;  G) A garantia desta cláusula se aplica ao acidente de trabalho cuja ocorrência coincidir com a vigência do contrato de trabalho, além das condições previstas na letra “a” acima.  Parágrafo único: Ao empregado portador de doença profissional e/ou ocupacional aplica-se a cláusula 39.  |garant empreg empreg vítim acident trabalh vigênc dest acord colet trabalh empreg vitim acident trabalh razã acident sofr reduçã parcial capac laboral garant empreg salári desd atend seguint condiçõ cumul apresent reduçã capac laboral torn incapaz exerc funçã vinh exerc equivalent apresent condiçõ exerc qualqu outr funçã compat capac laboral após acident b condiçõ supr acident trabalh garantidor benefíci dev atest declar inss diverg qualqu part quant result laud facult part busc prestaçã jurisdicional justic trabalh c abrang garant dest cláusul acident trabalh atend condiçõ acim contrat vigor dat vigênc dest acord colet trabalh d empreg contempl garant previst nest cláusul pod serv paradigm reivindic salari ter contrat trabalh rescind empreg razã prátic falt grav mútu acord part nest cas assistent sindicat defer benefíci aposentador excluíd garant supr empreg vitim acident trajet der caus excepcionas dest hipótes acident trajet ocorr transport fornec empres empreg contempl garant previst nest cláusul obrig particip process readapt requalific nov funçã existent empres tal process necessári preferencial orient centr reabilit profissional inss instituiçã credenc institut f empres oferec oportun condiçõ eou recurs readapt requalific profissional acident trabalh empreg comprov colabor process readapt requalific profissional excluíd garant dest cláusul g garant dest cláusul aplic acident trabalh cuj ocorrent coincid vigênc contrat trabalh além condiçõ previst letr acim parágraf únic empreg portador doenc profissional eou ocupacional aplicas cláusul
2016_082054|Individual Safety Equipment|MEDIDAS DE PROTEÇÃO  A) A empresa adotará medidas de proteção prioritariamente de ordem coletiva, em relação às condições de trabalho e segurança do empregado;  B) O sindicato signatário oficiará a empresa das queixas fundamentadas por seus empregados, em relação às condições de trabalho e segurança;  C) No prazo de 30 (trinta) dias a empresa responderá ao respectivo sindicato signatário, por escrito, informando os resultados dos levantamentos efetuados, especificando as medidas de proteção adotadas ou as que serão adotadas e em que prazo.  No caso de situações de emergência ou de perigo iminente, o prazo será de 10 (dez) dias;  D) No primeiro dia de trabalho do empregado, a empresa fará o treinamento com o equipamento de proteção, dará conhecimento das áreas perigosas e insalubres e informará sobre os riscos dos eventuais agentes agressivos de seu posto de trabalho;  E) O médico do trabalho da empresa opinará sobre a utilização do EPI adequado. |med proteçã empres adot med proteçã prioritari ordem colet relaçã condiçõ trabalh segur empreg b sindicat signatári ofic empres queix fundament empreg relaçã condiçõ trabalh segur c praz trint dias empres respond respect sindicat signatári escrit inform result levant efetu especific med proteçã adot adot praz cas situaçõ emergent perig iminent praz dez dias d primeir dia trabalh empreg empres far treinament equip proteçã dar conhec áre perig insalubr inform sobr risc eventu agent agress post trabalh médic trabalh empres opin sobr utiliz epi adequ
2016_082054|Internal Committee on Accident Prevention - composition, election, assignments, guarantees |"CIPA  A) A empresa, obrigatoriamente, convocará eleições para as CIPAs, com 60 (sessenta) dias de antecedência, dando publicidade do ato através de edital, enviando cópia ao respectivo sindicato signatário nos primeiros 10 (dez) dias do período acima estipulado.  O edital deverá explicitar o local para inscrição dos candidatos. A inscrição será feita contra recibo e o prazo será de 05 (cinco) dias a contar do 20º(vigésimo) ao 5º (quinto) dia em termos regressivos à eleição;  B) A eleição será feita obrigatoriamente sem a constituição e inscrição de chapas, realizando-se o pleito através de votação de lista única, contendo os nomes de todos os candidatos. A empresa setorializará, se for o caso, a inscrição e a eleição dos candidatos;  C) Todo o processo eleitoral e a respectiva apuração serão coordenados pelo Vice-Presidente da CIPA em exercício, em conjunto com o Serviço de Segurança e Medicina do Trabalho da Empresa;  D) No prazo máximo de 10 (dez) dias, após a realização das eleições, será o sindicato comunicado do resultado, indicando-se os eleitos e os respectivos suplentes, bem como os representantes indicados pelo empregador;  E) O não cumprimento do disposto nas letras ""A"", ""B"", ""C"" e ""D"" por parte do empregador tornará nulo o processo eleitoral, devendo novas eleições serem realizadas no prazo improrrogável de 30 (trinta) dias, com o acompanhamento do sindicato signatário;  F) O curso de treinamento será obrigatório para os membros das CIPAs, mesmo aos reeleitos e deverá ser concluído nos primeiros 60 (sessenta) dias, a contar da posse dos mesmos. A empresa informará ao sindicato  qual a entidade que ministrará esse curso e a data provável do seu início;  G) O Cipeiro, representante dos empregados, na Comissão Interna de Prevenção de Acidentes (CIPA), deverá participar da investigação dos acidentes ocorridos no setor que o elegeu;  H) A empresa encaminhará ao respectivo sindicato signatário cópia da ata de reuniões da CIPA, até o 35º (trigésimo quinto) dia após a realização da reunião;  I) A empresa informará ao sindicato signatário, com 30 (trinta) dias de antecedência, o programa e data de realização da SIPAT - Semana Interna de Prevenção de Acidentes. "|cip empres obrigatori convoc eleiçõ cip sessent dias antecedent dand public ato através edital envi cóp respect sindicat signatári primeir dez dias períod acim estipul edital dev explicit local inscriçã candidat inscriçã feit contr recib praz cinc dias cont vigésim quint dia term regress eleiçã b eleiçã feit obrigatori constituiçã inscriçã chap realizandos pleit através votaçã list únic cont nom tod candidat empres setorializ cas inscriçã eleiçã candidat c tod process eleitoral respect apur coorden vicepresident cip exercíci conjunt servic segur medicin trabalh empres d praz máxim dez dias após realiz eleiçõ sindicat comunic result indicandos eleit respect suplent bem represent indic empreg cumpriment dispost letr b c d part empreg torn nul process eleitoral dev nov eleiçõ ser realiz praz improrrog trint dias acompanh sindicat signatári f curs treinament obrigatóri membr cip reeleit dev concluíd primeir sessent dias cont poss mesm empres inform sindicat entidad ministr curs dat provável iníci g cipeir represent empreg comissã intern prevençã acident cip dev particip investig acident ocorr setor eleg h empres encaminh respect sindicat signatári cóp ata reuniõ cip trigésim quint dia após realiz reuniã i empres inform sindicat signatári trint dias antecedent program dat realiz sipat seman intern prevençã acident
2016_082054|Assistance to Workers with Accidental or Occupational Injuries|PREENCHIMENTO  DE FORMULÁRIOS  PARA  A  PREVIDÊNCIA SOCIAL  A empresa deverá preencher a documentação exigida pela Previdência Social, quando solicitada pelo empregado e fornecê-la nos seguintes prazos máximos:  A) Para fins de obtenção de auxílio doença - 5 (cinco) dias úteis;  B) Para fins de aposentadoria - 10 (dez) dias úteis;  C) Para fins de obtenção de aposentadoria especial - 15 (quinze) dias úteis.  Ficam ressalvadas as situações mais favoráveis já existentes.  A empresa fornecerá por ocasião do desligamento do empregado, quando for o caso, os formulários exigidos pela Previdência Social, para fins de instrução do processo de aposentadoria especial |preenchiment formulári prevident social empres dev preench document exig prevident social solicit empreg fornecêl seguint praz máx fins obtençã auxíli doenc cinc dias úte b fins aposentador dez dias úte c fins obtençã aposentador especial quinz dias úte fic ressalv situaçõ favor existent empres fornec ocasiã deslig empreg cas formulári exig prevident social fins instruçã process aposentador especial
2016_082054|Guarantees to Workers with Non-occupational Injuries|GARANTIA AO EMPREGADO AFASTADO DO SERVIÇO POR DOENÇA  A) Ao empregado afastado do serviço por doença, percebendo o benefício previdenciário respectivo, será garantido emprego ou salário, a partir da alta, por período igual ao do afastamento, limitado, porém, a um máximo de 60 (sessenta) dias, além do aviso prévio previsto na CLT ou nesta Convenção;  B) Na hipótese da recusa, pela empresa, da alta médica dada pelo INSS, a empresa arcará com o pagamento dos dias não pagos pela Previdência Social, contidos entre o reencaminhamento e a confirmação da alta pelo INSS;  C) Dentro do prazo limitado nesta garantia, estes empregados não poderão ter seus contratos de trabalho rescindidos pelo empregador, a não ser em razão de prática de falta grave ou por mútuo acordo entre o empregado e a empresa, com assistência do  sindicato signatário.  |garant empreg afast servic doenc empreg afast servic doenc perceb benefíci previdenciári respect garant empreg salári part alta períod igual afast limit porém máxim sessent dias além avis prévi previst clt nest convençã b hipótes recus empres alta médic dad inss empres arcar pagament dias pag prevident social cont reencaminh confirm alta inss c dentr praz limit nest garant empreg pod ter contrat trabalh rescind empreg razã prátic falt grav mútu acord empreg empres assistent sindicat signatári
2016_082054|Other Rules for the Prevention of Accidents and Occupational Injuries|- PREVENÇÃO DE ACIDENTES COM PRENSAS MECÂNICAS E MÁQUINAS OPERATRIZES  A) As prensas mecânicas deverão dispor de mecanismos de segurança que previnam a ocorrência de acidentes com os empregados que operam essas máquinas;  B) As demais máquinas operatrizes industriais deverão, sempre que possível, contar com equipamentos e/ou sistemas de proteção para evitar a ocorrência de acidentes;  C) No caso de acidente grave com afastamento do trabalho, o sindicato deverá ser comunicado em 48 (quarenta e oito) horas do evento. |prevençã acident prens mecân máquin operatriz prens mecân dev dispor mecan segur previn ocorrent acident empreg oper máquin b dem máquin operatriz industri dev sempr possível cont equip eou sistem proteçã evit ocorrent acident c cas acident grav afast trabalh sindicat dev comunic quarent oit hor event
2012_002993|Accidental or Occupational Injury Assurances|A Empresa deverá reservar 2% (dois por cento) de sua capacidade de absorção de empregados para o deficiente físico em função compatível. Lei 8213/91, art. 93. |empres dev reserv dois cent capac absorçã empreg deficient físic funçã compat lei art
2012_002993|Accidental or Occupational Injury Assurances|Ao Empregado afastado do serviço por doença, recebendo o benefício previdenciário respectivo, será garantido emprego e salário, a partir da alta por (30) trinta dias prévio previsto na CLT. |empreg afast servic doenc receb benefíci previdenciári respect garant empreg salári part alta trint dias prévi previst clt
