contract_id|title|text|clean_text
2016_082054|Uniforms|- FORNECIMENTO DE UNIFORMES E ROUPAS DE TRABALHO  A empresa fornecerá aos empregados gratuitamente uniformes, macacões e outras peças de vestimenta, bem como equipamentos de proteção individual e de segurança, inclusive calçados especiais e óculos de segurança graduados, de acordo com receita médica, quando por elas exigidos na prestação do serviço e quando a atividade assim o exigir. |fornec uniform roup trabalh empres fornec empreg gratuit uniform macacõ outr pec vestiment bem equip proteçã individual segur inclusiv calc espec ócul segur gradu acord receit médic exig prestaçã servic ativ assim exig
2012_002993|Working Environment Conditions|O Empregador se obriga a manter no local de trabalho água potável, para consumo de seus empregados, bem como sanitários, masculino e feminino, em perfeitas condições de higiene, armários individuais para guarda de roupas e pertences pessoais do empregado, desde que a troca de roupa decorra de exigência da atividade desenvolvida. |empreg obrig mant local trabalh águ potável consum empreg bem sanitári masculin feminin perfeit condiçõ higien armári individu guard roup pertenc pesso empreg desd troc roup decorr exigent ativ desenvolv
2012_002993|Uniforms|Fica garantido o fornecimento gratuito de uniforme completo desde que exigido o seu uso pelo Empregador. |fic garant fornec gratuit uniform complet desd exig uso empreg
2012_042451|Working Environment Conditions|ATESTADO MÉDICO  A empresas obriga - se a receber os atestados Médicos e Odontológicos,   fornecidos pelas  entidades médicas que necessariamente mantenham convênios    com a Previdência Social ( INSS ) e sindicato laboral, para justificar a ausência no trabalho em até 15 ( quinze ) dias obedecidas a portaria nº 1.722 do INSS.  PRIMEIROS SOCORROS A empresa obriga - se a manter material de primeiros socorros em locais de fácil acesso, bem como fornecer transporte ao empregado até o local de atendimentos médico em caso de urgência. |atest médic empres obrig receb atest médic odontológ fornec entidad médic necessari mantenh convêni prevident social inss sindicat laboral justific ausênc trabalh quinz dias obedec port nº inss primeir socorr empres obrig mant material primeir socorr loc fácil acess bem fornec transport empreg local atend médic cas urgênc
2012_002943|Uniforms|A empresa fica obrigada a fornecer gratuitamente uniformes de trabalho a todos seus empregados. Quando a mesma exigir ou quando de uso obrigatório e de acordo com a necessidade. |empres fic obrig fornec gratuit uniform trabalh tod empreg mesm exig uso obrigatóri acord necess
2016_082084|Moral Harassment| 1. A empresa diligenciará para a preservação da dignidade dos seus empregados, punindo exemplarmente os casos comprovados de cometimento de assédio moral ou sexual no seu estabelecimento e procurará orientar os seus empregados, inclusive, encarregados, chefes e gerentes, visando à não ocorrência de tais práticas. |empres diligenc preserv dignidad empreg pun exemplar cas comprov comet assédi moral sexual estabelec procur orient empreg inclusiv encarreg chef gerent vis ocorrent tais prátic
2016_082084|Working Environment Conditions|1. A empresa fornecerá água para o consumo de seus empregados que sejam armazenadas em caixas d’água ou sejam provenientes de poços, se comprometendo a clorar e a tratar a água fornecida e também a realizar exames bacteriológicos semestralmente, afixando o resultado do exame em quadros de aviso. |empres fornec águ consum empreg armazen caix d águ provenient poc compromet clor trat águ fornec realiz exam bacteriológ semestral afix result exam quadr avis
2015_043073|Uniforms|As empresas fornecerão aos seus empregados, obrigatoriamente, uniformes e equipamento de proteção individual necessários ao desempenho da respectiva função. Os uniformes constarão, no seu todo, do seguinte: - para motoristas e cobradores: 2 (duas) camisas, 2 (duas) calças, 1 (um) par de sapatos e 1 (uma) gravata, quando a empresa exigir o uso desta; - para trabalhadores de manutenção: 4 (quatro) uniformes do tipo utilizado para essa atividade por cada empresa e 2 (dois) pares de botas, sendo que tais uniformes são concedidos metade no primeiro semestre e a outra metade no segundo. Esta divisão semestral é exclusiva para os trabalhadores de manutenção, não se aplicando a mesma para motoristas e cobradores. PARÁGRAFO ÚNICO – Os empregados se obrigam a devolver os uniformes a quando da rescisão do contrato e se assim exigirem as empresas, sob pena de indenizá-las pelo valor consignado na caução. |empres fornec empreg obrigatori uniform equip proteçã individual necessári desempenh respect funçã uniform const tod seguint motor cobrador duas camis duas calc par sapat gravat empres exig uso dest trabalh manutençã quatr uniform tip utiliz ativ cad empres dois par bot send tais uniform conced metad primeir semestr outr metad segund divisã semestral exclus trabalh manutençã aplic mesm motor cobrador parágraf únic empreg obrig devolv uniform rescisã contrat assim exig empres sob pen indenizál valor consign cauçã
2012_003082|Uniforms|A empresa fica obrigada a fornecer gratuitamente uniformes de trabalho a todos seus empregados, quando a mesma exigir ou quando de uso obrigatório e de acordo com a necessidade. |empres fic obrig fornec gratuit uniform trabalh tod empreg mesm exig uso obrigatóri acord necess
2017_039341|Uniforms|Quando exigido o uso de uniforme pela empresa, será por ela fornecido gratuitamente ao empregado. |exig uso uniform empres fornec gratuit empreg
2017_039364|Uniforms|Quando o exercício de atividades exigir o uso de uniforme padronizados, competirá aos empregadores fornecê-los gratuitamente em número de dois uniformes em cada 12 (doze) meses, salvo mal uso ou extravio injustificável. |exercíci ativ exig uso uniform padroniz compet empreg fornecêl gratuit númer dois uniform cad doz mes salv mal uso extravi injustific
2012_032527|Uniforms|Quando exigido para prestação de serviços ou pela própria natureza do trabalho o CRMV-SC fornecerá uniforme, gratuitamente, aos seus funcionários, em quantidade e frequência que assegurem a manutenção da sua qualidade.|exig prestaçã servic própr natur trabalh crmvsc fornec uniform gratuit funcionári quantidad frequênc assegur manutençã qualidad
2013_073410|Working Environment Conditions|a) A empresa que se utilizar de mão-de-obra feminina, manterão em suas caixas de Primeiros Socorros, absorventes higiênicos para uso emergencial, fornecidos gratuitamente. b) A empresa proporcionará gratuitamente, produtos adequados a higiene pessoal de seus empregados de acordo com as condições específicas do trabalho realizado. |empres utiliz mãodeobr feminin mant caix primeir socorr absorvent higiên uso emergencial fornec gratuit b empres proporcion gratuit produt adequ higien pessoal empreg acord condiçõ específ trabalh realiz
2013_073410|Working Environment Conditions|A empresa que não possue refeitório se comprometem a oferecer condições para os empregados aquecerem suas refeições e tomarem em condições de higiene e boa acomodação. |empres possu refeitóri compromet oferec condiçõ empreg aquec refeiçõ tom condiçõ higien boa acomod
2013_073410|Working Environment Conditions|A empresa fornecerá água potável filtrada e resfriada aos seus empregados; os estabelecimentos em que trabalharem mais de 30 (trinta) trabalhadores, ficará uma auxiliar para levar água potável a cada 30 (trinta) minutos. |empres fornec águ potável filtr resfri empreg estabelec trabalh trint trabalh fic auxili lev águ potável cad trint minut
2013_073410|Uniforms|Fornecimento gratuito de uniforme e EPI's aos empregados, quando exigidos pelas empresas ou por Lei. |fornec gratuit uniform epi s empreg exig empres lei
