key,value
,
AC,12
AC Rio Branco,120040
AL,27
AL Anadia,270020
AL Arapiraca,270030
AL Atalaia,270040
AL Barra de Santo Antônio,270050
AL Barra de São Miguel,270060
AL Batalha,270070
AL Belo Monte,270090
AL Belém,270080
AL Boca da Mata,270100
AL Branquinha,270110
AL Cacimbinhas,270120
AL Cajueiro,270130
AL Campestre,270135
AL Campo Alegre,270140
AL Campo Grande,270150
AL Canapi,270160
AL Capela,270170
AL Carneiros,270180
AL Chã Preta,270190
AL Coité do Nóia,270200
AL Colônia Leopoldina,270210
AL Coqueiro Seco,270220
AL Coruripe,270230
AL Craíbas,270235
AL Delmiro Gouveia,270240
AL Dois Riachos,270250
AL Estrela de Alagoas,270255
AL Feira Grande,270260
AL Feliz Deserto,270270
AL Flexeiras,270280
AL Girau do Ponciano,270290
AL Ibateguara,270300
AL Igaci,270310
AL Igreja Nova,270320
AL Inhapi,270330
AL Jacaré dos Homens,270340
AL Jacuípe,270350
AL Japaratinga,270360
AL Jaramataia,270370
AL Jequiá da Praia,270375
AL Joaquim Gomes,270380
AL Jundiá,270390
AL Junqueiro,270400
AL Lagoa da Canoa,270410
AL Limoeiro de Anadia,270420
AL Maceió,270430
AL Major Isidoro,270440
AL Mar Vermelho,270490
AL Maragogi,270450
AL Maravilha,270460
AL Marechal Deodoro,270470
AL Maribondo,270480
AL Mata Grande,270500
AL Matriz de Camaragibe,270510
AL Messias,270520
AL Minador do Negrão,270530
AL Monteirópolis,270540
AL Murici,270550
AL Novo Lino,270560
AL Olho d'Água Grande,270590
AL Olho d'Água das Flores,270570
AL Olho d'Água do Casado,270580
AL Olivença,270600
AL Ouro Branco,270610
AL Palestina,270620
AL Palmeira dos Índios,270630
AL Pariconha,270642
AL Paripueira,270644
AL Passo de Camaragibe,270650
AL Paulo Jacinto,270660
AL Penedo,270670
AL Piaçabuçu,270680
AL Pilar,270690
AL Pindoba,270700
AL Piranhas,270710
AL Porto Calvo,270730
AL Porto Real do Colégio,270750
AL Porto de Pedras,270740
AL Poço das Trincheiras,270720
AL Pão de Açúcar,270640
AL Quebrangulo,270760
AL Rio Largo,270770
AL Roteiro,270780
AL Santa Luzia do Norte,270790
AL Santana do Ipanema,270800
AL Santana do Mundaú,270810
AL Satuba,270890
AL Senador Rui Palmeira,270895
AL São Brás,270820
AL São José da Laje,270830
AL São José da Tapera,270840
AL São Luís do Quitunde,270850
AL São Miguel dos Campos,270860
AL São Miguel dos Milagres,270870
AL São Sebastião,270880
AL Tanque d'Arca,270900
AL Taquarana,270910
AL Teotônio Vilela,270915
AL Traipu,270920
AL União dos Palmares,270930
AL Viçosa,270940
AL Água Branca,270010
AM,13
AM Coari,130120
AM Manaus,130260
AM Presidente Figueiredo,130353
AP,16
AP Amapá,160010
AP Calçoene,160020
AP Cutias,160021
AP Ferreira Gomes,160023
AP Itaubal,160025
AP Laranjal do Jari,160027
AP Macapá,160030
AP Mazagão,160040
AP Oiapoque,160050
AP Pedra Branca do Amapari,160015
AP Porto Grande,160053
AP Pracuúba,160055
AP Santana,160060
AP Serra do Navio,160005
AP Tartarugalzinho,160070
AP Vitória do Jari,160080
Abadia de Goiás/GO,520005
Abadia dos Dourados/MG,310010
Abadiânia/GO,520010
Abaetetuba/PA,150010
Abaeté/MG,310020
Abaiara/CE,230010
Abaré/BA,290020
Abatiá/PR,410010
Abaíra/BA,290010
Abdon Batista/SC,420005
Abel Figueiredo/PA,150013
Abelardo Luz/SC,420010
Abre Campo/MG,310030
Abreu,260005
Abreulândia/TO,170025
Acaiaca/MG,310040
Acajutiba/BA,290030
Acarape/CE,230015
Acaraú/CE,230020
Acari/RN,240010
Acará/PA,150020
Acauã/PI,220005
Aceguá/RS,430003
Acopiara/CE,230030
Acorizal/MT,510010
Acrelândia/AC,120001
Acreúna/GO,520013
Adamantina/SP,350010
Adelândia/GO,520015
Adolfo/SP,350020
Adrianópolis/PR,410020
Adustina/BA,290035
