contract_id|number_clauses
2016_082054|69
2012_002993|50
2014_081501|4
2017_084835|10
2017_084809|2
2013_055346|2
2009_016497|9
2015_060659|8
2012_042451|8
2012_002943|24
2016_082084|77
2014_009174|9
2009_016731|6
2015_043073|42
2012_003082|24
2015_084042|4
2017_084934|3
2013_073146|2
2017_039221|8
2017_039341|47
2015_069545|1
2013_069396|8
2009_016579|2
2014_038109|6
2013_073403|5
2010_074416|4
2015_065035|5
2017_039364|34
2012_032527|30
2009_034089|6
2013_068336|8
2014_081419|1
2013_073410|69
2009_016389|1
2010_074884|23
2014_038173|31
2012_042462|56
2012_042489|53
2016_082062|57
2010_075192|35
2015_043120|114
2014_081490|1
2015_075846|2
2012_032551|37
2010_074659|4
2015_043084|52
2015_083965|4
2015_031484|0
