contract_id|Wages|Health|Union|Safety / Injury / Disability|Work Adaptation / Training|Work Time|Incentives|Food / Education / Housing|Contract Agreement|Retirement|Work Environment / Harassment|Family|Dismissals / Transfers|Fees|Staffing / Hiring / Outsourcing|Other|Equality / Fairness
2016_082054|11|2|6|8|4|9|0|1|4|2|1|6|4|0|5|4|2
2012_002993|6|2|7|5|1|6|2|2|0|1|2|4|2|0|1|9|0
2014_081501|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|2|0
2017_084835|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0
2017_084809|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0
2013_055346|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0
2009_016497|1|0|0|0|0|6|0|0|0|0|0|0|1|0|1|0|0
2015_060659|7|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
2012_042451|2|0|2|0|1|1|0|0|0|0|1|0|0|0|1|0|0
2012_002943|4|1|5|2|0|4|1|1|0|1|1|1|2|0|1|0|0
2016_082084|9|5|10|8|0|16|0|4|1|1|2|3|8|0|6|2|2
2014_009174|2|0|3|0|0|1|1|0|1|0|0|0|0|0|0|1|0
2009_016731|0|0|1|2|0|1|0|0|0|0|0|0|0|0|0|0|2
2015_043073|8|1|5|1|0|4|0|2|2|0|1|2|2|0|5|9|0
2012_003082|4|1|5|2|0|4|1|1|0|1|1|1|1|0|2|0|0
2015_084042|2|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0
2017_084934|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|2|0
2013_073146|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
2017_039221|0|0|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0
2017_039341|8|2|3|2|1|8|0|4|1|1|1|4|2|0|4|4|2
2015_069545|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2013_069396|2|0|0|0|0|2|0|0|2|0|0|0|0|1|0|1|0
2009_016579|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0
2014_038109|1|0|0|1|0|0|0|2|2|0|0|0|0|0|0|0|0
2013_073403|0|0|0|0|0|0|5|0|0|0|0|0|0|0|0|0|0
2010_074416|1|0|0|0|0|1|0|0|2|0|0|0|0|0|0|0|0
2015_065035|3|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0
2017_039364|10|1|6|0|0|6|1|1|2|0|1|0|3|1|2|0|0
2012_032527|4|2|5|0|1|9|0|2|1|0|1|2|0|0|2|1|0
2009_034089|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5
2013_068336|2|0|0|0|0|2|0|0|2|0|0|0|0|1|0|1|0
2014_081419|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2013_073410|11|4|8|4|2|9|1|4|5|2|4|4|3|0|5|3|0
2009_016389|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2010_074884|6|0|4|2|0|3|1|1|0|1|1|1|2|0|0|1|0
2014_038173|3|2|5|3|0|5|1|3|0|0|0|1|1|0|1|6|0
2012_042462|6|2|12|2|0|8|0|2|2|1|2|0|3|0|1|14|1
2012_042489|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|51|0
2016_082062|14|1|4|2|1|11|3|0|4|1|0|4|5|0|3|3|1
2010_075192|8|2|7|7|0|4|1|0|1|1|0|1|2|0|1|0|0
2015_043120|13|4|16|12|4|22|1|3|3|1|3|5|11|0|10|4|2
2014_081490|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
2015_075846|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
2012_032551|6|1|5|4|1|3|1|1|2|2|1|2|2|0|3|2|1
2010_074659|1|0|0|0|0|1|0|0|2|0|0|0|0|0|0|0|0
2015_043084|7|3|9|5|0|7|1|2|0|1|1|2|2|0|3|9|0
2015_083965|2|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0
2015_031484|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
