contract_id|translated_clauses
2016_082054|Minimum Wage,Salary Adjustments / Corrections,Salary Adjustments / Corrections,Salary Adjustments / Corrections,Salary Payment,Salary Payment,Salary Payment,Salary Payment,Salary Payment,Wage Fairness,Overtime Pay,Nightshift Pay,Profit Sharing,Subsistence Allowance,Death / Funeral Assistance,Childcare Assistance,Other Assistances,Other Assistances,Admission / Hiring Rules,Admission / Hiring Rules,Admission / Hiring Rules,Separation / Dismissal,Separation / Dismissal,Advance Notice,Advance Notice,Temporary Workforce / Outsourcing,Temporary Workforce / Outsourcing,Internship / Apprenticeship,People with Special Needs,Senior Workforce,Youth Workforce,Other Specific Groups,Jobs and Salary Schedule,Qualification / Vocational Training,Maternity Assurances,Military Service Assurances,Accidental or Occupational Injury Assurances,Accidental or Occupational Injury Assurances,Retirement Assurances,Abortion Assurances,Duration and Schedule,Work Day Compensation,Weekly Rest,Work Day Controls,Absences,Special Work Days (women, minors, students),Special Work Days (women, minors, students),Vacation Duration and Concession,Paid Leave,Unpaid Leave,Individual Safety Equipment,Uniforms,Internal Committee on Accident Prevention - composition, election, assignments, guarantees ,Medical Exams,Acceptance of Medical Certificates,Assistance to Workers with Accidental or Occupational Injuries,Guarantees to Workers with Non-occupational Injuries,Other Rules for the Prevention of Accidents and Occupational Injuries,Guarantees to Union Officers,Access to Company Information,Union Contributions,Union Contributions,Other Provisions on the Relationship between Union and Company,Other Provisions on the Relationship between Union and Company,Application of Agreement,Non-compliance with Agreement,Renewal / Termination of the Agreement,Renewal / Termination of the Agreement,Other Provisions
2012_002993|Minimum Wage,Salary Adjustments / Corrections,Salary Payment,Salary Payment,Salary Payment,Other Bonuses,Other Bonuses,Overtime Pay,Food Assistance,Transportation Assistance,Health Care,Life Insurance,Admission / Hiring Rules,Separation / Dismissal,Advance Notice,Military Service Assurances,Accidental or Occupational Injury Assurances,Accidental or Occupational Injury Assurances,Retirement Assurances,Other Assurances,Other Assurances,Duration and Schedule,Work Day Compensation,Weekly Rest,Work Day Controls,Special Work Days (women, minors, students),Vacation Duration and Concession,Maternity Leave,Adoption Leave,Other Provisions on Vacations and Leaves,Working Environment Conditions,Uniforms,Medical Exams,Rehabilitation of Workers with Accidental or Occupational Injuries,Other Rules for the Prevention of Accidents and Occupational Injuries,Other Rules for the Prevention of Accidents and Occupational Injuries,Union Access to Workplace,Union Contributions,Union Contributions,Union Contributions,Union Contributions,Right of Opposition to the Discount of Union Contributions,Right of Opposition to the Discount of Union Contributions,Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions
2014_081501|Non-compliance with Agreement,Renewal / Termination of the Agreement,Other Provisions,Other Provisions
2017_084835|Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions,Other Provisions
2017_084809|Awards,Duration and Schedule
2013_055346|Extension / Reduction of Work Day,Extension / Reduction of Work Day
2009_016497|Overtime Pay,Nightshift Pay,Admission / Hiring Rules,Separation / Dismissal,Duration and Schedule,Extension / Reduction of Work Day,Work Day Compensation,Weekly Rest,Other Provisions on the Work Day
2015_060659|Work Day Compensation,Work Day Compensation,Work Day Compensation,Work Day Compensation,Work Day Compensation,Work Day Compensation,Work Day Compensation,Work Day Controls
2012_042451|Other Rules Regarding Salaries, Adjustments, Payments and Calculation Criteria,13th Salary,Admission / Hiring Rules,Qualification / Vocational Training,Duration and Schedule,Working Environment Conditions,Union Contributions,Negotiation Rules
2012_002943|Minimum Wage,Salary Adjustments / Corrections,Other Rules Regarding Salaries, Adjustments, Payments and Calculation Criteria,Overtime Pay,Awards,Transportation Assistance,Separation / Dismissal,Separation / Dismissal,Temporary Workforce / Outsourcing,Maternity Assurances,Retirement Assurances,Duration and Schedule,Work Day Compensation,Absences,Collective Vacations,Individual Safety Equipment,Uniforms,Internal Committee on Accident Prevention - composition, election, assignments, guarantees ,First Aid,Unionization (campaigns and hiring of union members),Guarantees to Union Officers,Union Contributions,Mechanisms for Conflict Resolution,Mechanisms for Conflict Resolution
