contract_id|title|validity|clause_count|Wages|Health|Union|Safety / Injury / Disability|Work Adaptation / Training|Work Time|Incentives|Food / Education / Housing|Contract Agreement|Retirement|Work Environment / Harassment|Family|Dismissals / Transfers|Fees|Staffing / Hiring / Outsourcing|Other|Equality / Fairness
2016_082054|Mediador - Extrato Acordo Coletivo|carimbo|69|11|2|6|8|4|9|0|1|4|2|1|6|4|0|5|4|2
2012_002993|Mediador - Extrato Acordo Coletivo|semvalorlegal|50|6|2|7|5|1|6|2|2|0|1|2|4|2|0|1|9|0
2014_081501|Mediador - Extrato Acordo Coletivo|semvalorlegal|4|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|2|0
2017_084835|Mediador - Extrato Acordo Coletivo|carimbo|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0
2017_084809|Mediador - Extrato Acordo Coletivo|carimbo|2|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0
2013_055346|Mediador - Extrato Termo Aditivo de Acordo Coletivo|semvalorlegal|2|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0
2009_016497|Mediador - Extrato Acordo Coletivo|carimbo|9|1|0|0|0|0|6|0|0|0|0|0|0|1|0|1|0|0
2015_060659|Mediador - Extrato Acordo Coletivo|semvalorlegal|8|7|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
2012_042451|Mediador - Extrato Acordo Coletivo|carimbo|8|2|0|2|0|1|1|0|0|0|0|1|0|0|0|1|0|0
2012_002943|Mediador - Extrato Acordo Coletivo|semvalorlegal|24|4|1|5|2|0|4|1|1|0|1|1|1|2|0|1|0|0
2016_082084|Mediador - Extrato Acordo Coletivo|carimbo|77|9|5|10|8|0|16|0|4|1|1|2|3|8|0|6|2|2
2014_009174|Mediador - Extrato Acordo Coletivo|carimbo|9|2|0|3|0|0|1|1|0|1|0|0|0|0|0|0|1|0
2009_016731|Mediador - Extrato Acordo Coletivo|carimbo|6|0|0|1|2|0|1|0|0|0|0|0|0|0|0|0|0|2
2015_043073|Mediador - Extrato Convenção Coletiva|semvalorlegal|42|8|1|5|1|0|4|0|2|2|0|1|2|2|0|5|9|0
2012_003082|Mediador - Extrato Acordo Coletivo|semvalorlegal|24|4|1|5|2|0|4|1|1|0|1|1|1|1|0|2|0|0
