contract_id|validity
2016_082054|carimbo
2012_002993|semvalorlegal
2014_081501|semvalorlegal
2017_084835|carimbo
2017_084809|carimbo
2013_055346|semvalorlegal
2009_016497|carimbo
2015_060659|semvalorlegal
2012_042451|carimbo
2012_002943|semvalorlegal
2016_082084|carimbo
2014_009174|carimbo
2009_016731|carimbo
2015_043073|semvalorlegal
2012_003082|semvalorlegal
2015_084042|semvalorlegal
2017_084934|carimbo
2013_073146|semvalorlegal
2017_039221|carimbo
2017_039341|carimbo
2015_069545|semvalorlegal
2013_069396|carimbo
2009_016579|carimbo
2014_038109|carimbo
2013_073403|semvalorlegal
2010_074416|semvalorlegal
2015_065035|carimbo
2017_039364|carimbo
2012_032527|carimbo
2009_034089|carimbo
2013_068336|carimbo
2014_081419|semvalorlegal
2013_073410|semvalorlegal
2009_016389|semvalorlegal
2010_074884|carimbo
2014_038173|carimbo
2012_042462|carimbo
2012_042489|carimbo
2016_082062|semvalorlegal
2010_075192|carimbo
2015_043120|carimbo
2014_081490|semvalorlegal
2015_075846|carimbo
2012_032551|semvalorlegal
2010_074659|carimbo
2015_043084|semvalorlegal
2015_083965|semvalorlegal
2015_031484|semvalorlegal
